会社,担当,最終更新,滞留日数,失敗理由,要対応(7日超),FB要約
住友商事,木内 一希,2026-06-23 17:54,22,画像キュー滞留(regen待ち),⚠,住友商事 【4コマ目】 ・画像。ハルキの左手が不自然なため修正。
野村証券,仁科 嘉隆,2026-06-25 17:53,20,画像キュー滞留(regen待ち),⚠,【2コマ目】 ハルキの「1925年創業で、もうすぐ100年。」というところ、今は2026年なのですでに100周年迎えてる 【3コマ目】 画像が、ハルキが誰に話しかけているのかわからない。 【7コマ目】
森永乳業,木内 一希,2026-06-27 12:03,18,画像キュー滞留(regen待ち),⚠,森永乳業 ・3コマ目の画像内、ヨーグルトとアイスが同じ棚にあるのは不自然なため修正。
ロッテ,木内 一希,2026-06-27 16:40,18,画像キュー滞留(regen待ち),⚠,ロッテ 【7コマ目】 ・画像内でハルキ側にも水の入ったコップを追加し、テーブル上の配置に違和感がないよう修正。
りそな銀行,木内 一希,2026-06-28 11:53,17,台本[要再確認],⚠,りそな銀行 【6コマ目】 ・セリフを「専門性で初任給も変わるんだ…」に変更。
オリックス,木内 一希,2026-06-28 12:02,17,画像キュー滞留(regen待ち),⚠,オリックス 【7コマ目】 ・画像を、OB社員の説明を聞いていることが伝わる構図に変更。
東京センチュリー,木内 一希,2026-06-28 12:12,17,画像キュー滞留(regen待ち),⚠,東京センチュリー 【1コマ目】 ・画像内でナナの腕が3本になっているため修正。 【2コマ目】 ・画像内のスマートフォンに表示されている「342」の数字の意図が分かりにくいため、会話内容と整合する表示に
日本取引所グループ（JPX）,木内 一希,2026-06-28 16:51,17,画像キュー滞留(regen待ち),⚠,日本取引所グループ 【3コマ目】 ・画像内でナナにもパソコンの画面が見える構図に修正。 【10コマ目】 ・画像内でナナの視線を上げ、前向きな印象になるよう修正。
JAL（日本航空）,木内 一希,2026-06-29 11:15,16,画像キュー滞留(regen待ち),⚠,JAL 【4コマ目】 ・画像内でハルキの腕が3本になっているため修正。 【8コマ目】 ・画像内で客室乗務員の立ち位置が不自然なため、機内の状況に合わせた自然な配置・構図に修正。
博報堂DYホールディングス,木内 一希,2026-06-29 11:35,16,画像キュー滞留(regen待ち),⚠,博報堂 【2コマ目】 ・画像内で、ハルキがスマートフォンの画面をナナに見せていることが伝わる構図に修正。
ADKホールディングス,木内 一希,2026-06-29 11:43,16,画像キュー滞留(regen待ち),⚠,ADK 【7コマ目】 ・画像内のナナ、ハルキ、机の位置関係が不自然なため、会話シーンとして自然に見える構図へ修正。
信越化学工業,小林 史弥,2026-07-01 12:52,14,画像キュー滞留(regen待ち),⚠,信越化学工業 【9枚目】 ・画像右上の防塵服を着た人物に、ウサギの耳のような不自然な形が付いているため削除する。
西華産業,千田 浩太朗,2026-07-01 14:05,14,画像キュー滞留(regen待ち),⚠,コマ9： 画像で具体的な将来像が持てるように場面をもう少しわかりやすくしろ。例えば背景を細かくしたり登場人物の個性が分かるようにしたり。 コマ10：できれば本社の写真をよりリアルに再現したほうが就活生
第一実業,千田 浩太朗,2026-07-01 14:08,14,画像キュー滞留(regen待ち),⚠,コマ9： 画像で具体的な将来像が持てるように場面をもう少しわかりやすくしろ。例えば背景を細かくしたり登場人物の個性が分かるようにしたり。 コマ10：できれば本社の写真をよりリアルに再現したほうが就活生
マツダ,千田 浩太朗,2026-07-03 15:54,12,画像キュー滞留(regen待ち),⚠,コマ2：そう。1945年8月6日、この本社ビルも被爆した。でも残った。復興のシンボルになった。の部分。そして復興のシンボルになった。のほうがいい コマ7：イラストの前向きに今日を生きる人の輪を広げると
ソニーグループ,千田 浩太朗,2026-07-04 23:22,11,画像キュー滞留(regen待ち),⚠,コマ5：金額じゃなくて、創る人を尊重する構造なんだ…の部分。金額もそうだけど、に変更 コマ9： 画像で具体的な将来像が持てるように場面をもう少しわかりやすくしろ。例えば背景を細かくしたり登場人物の個性
日立製作所,千田 浩太朗,2026-07-04 23:27,11,画像キュー滞留(regen待ち),⚠,コマ2：じゃあ、何で稼いでるの?の部分。コマ1で社会インフラで稼いでいると明言しているのでここでまたこの疑問になるのはおかしい。 コマ3：私の1日、日立のインフラの上を動いてる…の部分。日立のインフラ
パナソニック ホールディングス,千田 浩太朗,2026-07-04 23:31,11,画像キュー滞留(regen待ち),⚠,コマ9： 画像で具体的な将来像が持てるように場面をもう少しわかりやすくしろ。例えば背景を細かくしたり登場人物の個性が分かるようにしたり。 コマ10：できれば本社の写真をよりリアルに再現したほうが就活生
キーエンス,千田 浩太朗,2026-07-04 23:35,11,画像キュー滞留(regen待ち),⚠,コマ6：(小声で) 高年収の裏側は、高密度労働なんだ…の部分。小声でを削除 コマ7：(小声で) 倍率は高いって聞いたけど…の部分。小声でを削除 コア8：(スマホを見て) あ、このスマホの製造番号も…の
東京エレクトロン,千田 浩太朗,2026-07-04 23:39,11,画像キュー滞留(regen待ち),⚠,コマ9： 画像で具体的な将来像が持てるように場面をもう少しわかりやすくしろ。例えば背景を細かくしたり登場人物の個性が分かるようにしたり。 コマ10：できれば本社の写真をよりリアルに再現したほうが就活生
キヤノン,千田 浩太朗,2026-07-06 19:04,9,画像キュー滞留(regen待ち),⚠,コマ5：10年越しの挑戦ではなくて、先を見据えた挑戦にしたほうが分かりやすい コマ6：宇都宮の新工場は総投資額500億円、延床面積6.7万平米。ここで10年働く覚悟がいるの部分。10年は長くない？コマ
アクセンチュア,千田 浩太朗,2026-07-06 19:22,9,画像キュー滞留(regen待ち),⚠,コマ5；初任給は年俸480万円。でもアクセンチュアは完全成果主義。アクセンチュアの初年度は660万だった気がする。新しい情報に更新して。 あと平均年収ももっと高かった気がする。 コマ9： 画像で具体的
デロイト トーマツ コンサルティング,千田 浩太朗,2026-07-07 21:19,8,画像キュー滞留(regen待ち),⚠,コマ2：イラストのナナの吹き出しは2つとも削除して また、ハルキのパソコンに謎の1.2億という文字が示されているが関係がないのでデロイトに関係がある画面に変更して。 コマ9： 画像で具体的な将来像が持
PwCコンサルティング,千田 浩太朗,2026-07-07 21:24,8,画像キュー滞留(regen待ち),⚠,コマ5：構造が、長期で報いる仕組みなんだ…の部分。コンサルは基本的にアップオアアウトの風習であり長期で報いる仕組みではないと思う。 コマ6：配属先は戦略、デジタル、業務改革、業界別ユニットと幅が広い。
EYストラテジー・アンド・コンサルティング,千田 浩太朗,2026-07-07 21:29,8,画像キュー滞留(regen待ち),⚠,コマ1：Big4の中で唯一、戦略から実行まで一気通貫でやるファーム。の部分。間違い。他のビッグ4も戦略から実行までやっている。 コマ4：戦略・M&A・実行の部分。この三本柱って言ってるけどまず次元があ
KPMGコンサルティング,千田 浩太朗,2026-07-07 21:35,8,画像キュー滞留(regen待ち),⚠,コマ1：影薄いどころか、世界中に根を張ってる…の部分。言い回しが変。世界中で活躍しているのほうがいい。 コマ5；新卒年収を載せるのはいいけど、マイナスのことは書かなくていいし、若手からの伸び幅を書いた
SUBARU,千田 浩太朗,2026-07-08 17:44,7,画像キュー滞留(regen待ち),,コマ3：他社もカメラついてるよね?の後の文が回答になってない。確かに他社もついているけどスバルは○○という点で優れていて事故率6割減なんだ見たいな感じが自然じゃない？ コマ9： 画像で具体的な将来像が
オムロン,小林 史弥,2026-07-08 01:13,7,台本[要再確認],,オムロン 【7枚目】 ・ナナのセリフまたはト書きにある「静かに」は不要。削除する。
IHI,小林 史弥,2026-07-08 12:54,7,画像キュー滞留(regen待ち),,IHI 【2枚目】 ・画像内の男性の腕が3本あるため不自然。腕は左右1本ずつ、合計2本になるように修正する。 【3枚目】 ・ロケット画像の土台が宙に浮いており不自然。ロケット本体と土台が地面または発射
セイコーエプソン,小林 史弥,2026-07-08 13:14,7,画像キュー滞留(regen待ち),,セイコーエプソン 【3枚目】 ・画像上部に白い影があるため削除する。 ・クリーンスーツを着た人物の頭部に、ウサギの耳のような不自然な形があるため削除する。
