slug,社名,現行分類(18),新・大分類,新・中分類,横断タグ
abeja,ABEJA,IT・通信・SaaS,IT・通信・インターネット,AI・データ・先端テック,スタートアップ・新興
appier,Appier Group,IT・通信・SaaS,IT・通信・インターネット,AI・データ・先端テック,
brainpad,ブレインパッド,IT・通信・SaaS,IT・通信・インターネット,AI・データ・先端テック,
elyza,ELYZA,IT・通信・SaaS,IT・通信・インターネット,AI・データ・先端テック,スタートアップ・新興
fronteo,FRONTEO,IT・通信・SaaS,IT・通信・インターネット,AI・データ・先端テック,
pksha,PKSHA Technology,IT・通信・SaaS,IT・通信・インターネット,AI・データ・先端テック,
pref-networks,Preferred Networks,IT・通信・SaaS,IT・通信・インターネット,AI・データ・先端テック,
sakana-ai,Sakana AI,IT・通信・SaaS,IT・通信・インターネット,AI・データ・先端テック,スタートアップ・新興
turing,Turing,IT・通信・SaaS,IT・通信・インターネット,AI・データ・先端テック,スタートアップ・新興
biprogy,BIPROGY,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
ctc,伊藤忠テクノソリューションズ（CTC）,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
fujitsu,富士通,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
nec,NEC,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
ns-solutions,日鉄ソリューションズ,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
ntt-data,NTTデータ,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
otsuka-shokai,大塚商会,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
scsk,SCSK,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
shift,SHIFT,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
sky,Sky,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
tis,TIS,IT・通信・SaaS,IT・通信・インターネット,SIer・ITサービス,
freee,freee,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,
kaonavi,カオナビ,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,
kubell,kubell（旧Chatwork）,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,
layerx,LayerX,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,スタートアップ・新興
moneyforward,マネーフォワード,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,
plaid,プレイド,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,スタートアップ・新興
rakus,ラクス,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,
sansan,Sansan,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,
smarthr,SmartHR,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,スタートアップ・新興
uzabase,ユーザベース,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,
visional,ビジョナル（ビズリーチ）,IT・通信・SaaS,IT・通信・インターネット,SaaS・業務ソフト,
amazon-japan,アマゾンジャパン,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,外資系
cyberagent,サイバーエージェント,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,
dena,ディー・エヌ・エー（DeNA）,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,
gmo,GMOインターネットグループ,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,
google-japan,Google日本,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,外資系
gree,グリー（GREE）,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,
ibm-japan,日本アイ・ビー・エム,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,外資系
line-yahoo,LINEヤフー,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,
mercari,メルカリ,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,
microsoft-japan,日本マイクロソフト,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,外資系
mixi,MIXI,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,
openai-japan,OpenAI Japan,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,外資系/スタートアップ・新興
oracle-japan,日本オラクル,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,外資系
rakuten-group,楽天グループ,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,
recruit-hd,リクルートホールディングス,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,
salesforce-japan,セールスフォース・ジャパン,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,外資系
sap-japan,SAPジャパン,IT・通信・SaaS,IT・通信・インターネット,インターネット・Webサービス,外資系
kddi,KDDI,IT・通信・SaaS,IT・通信・インターネット,通信キャリア,
